method,env_id,category,support_group,episodes,average_reward,success_rate,invalid_move_rate,repeated_action_rate,average_turns,breakdown,slice,value,envs,task_success_rate,invalid_browser_action_rate,avg_turns,invalid_action_rate,games
fixed_prompt,,simulated_app,,24,,,,1.0,,MiniWoB++ category,,,8,0.0,0.0,5.0,,
fixed_prompt,,text_entry,,30,,,,0.5,,MiniWoB++ category,,,10,0.36666666666666664,0.0,3.3,,
textgrad_policy_iteration,,clicking,,24,,,,0.5,,MiniWoB++ category,,,8,0.5,0.0,3.0,,
textgrad_policy_iteration,,forms,,18,,,,0.6111111111111112,,MiniWoB++ category,,,6,0.2222222222222222,0.16666666666666666,3.888888888888889,,
textgrad_policy_iteration,,menu_navigation,,18,,,,0.8333333333333334,,MiniWoB++ category,,,6,0.16666666666666666,0.0,4.333333333333333,,
textgrad_policy_iteration,,reading,,9,,,,0.6666666666666666,,MiniWoB++ category,,,3,0.0,0.0,3.6666666666666665,,
textgrad_policy_iteration,,selection,,27,,,,0.48148148148148145,,MiniWoB++ category,,,9,0.4074074074074074,0.0,3.962962962962963,,
textgrad_policy_iteration,,simulated_app,,24,,,,1.0,,MiniWoB++ category,,,8,0.0,0.0,5.0,,
textgrad_policy_iteration,,text_entry,,30,,,,0.5,,MiniWoB++ category,,,10,0.36666666666666664,0.0,3.3,,
fixed_prompt,,,,3,-1.0,0.0,,0.6666666666666666,22.666666666666668,TextWorldExpress game,game,arithmetic,,,,,0.0,
fixed_prompt,,,,3,0.3333333333333333,0.3333333333333333,,0.6666666666666666,54.0,TextWorldExpress game,game,coin,,,,,0.0,
fixed_prompt,,,,3,0.0787037037037037,0.0,,1.0,80.0,TextWorldExpress game,game,cookingworld,,,,,0.0,
fixed_prompt,,,,3,1.0,1.0,,1.0,41.333333333333336,TextWorldExpress game,game,mapreader,,,,,0.0,
fixed_prompt,,,,3,-1.0,0.0,,0.0,3.0,TextWorldExpress game,game,peckingorder,,,,,0.0,
fixed_prompt,,,,3,-1.0,0.0,,0.0,1.3333333333333333,TextWorldExpress game,game,simonsays,,,,,0.0,
fixed_prompt,,,,3,-1.0,0.0,,1.0,14.666666666666666,TextWorldExpress game,game,sorting,,,,,0.0,
fixed_prompt,,,,3,0.5,0.0,,1.0,80.0,TextWorldExpress game,game,twc,,,,,0.0,
fixed_prompt,,,,3,0.5,0.0,,1.0,80.0,TextWorldExpress game,category,commonsense_storage,,,,,0.0,
fixed_prompt,,,,3,0.3333333333333333,0.3333333333333333,,0.6666666666666666,54.0,TextWorldExpress game,category,exploration,,,,,0.0,
fixed_prompt,,,,6,-1.0,0.0,,0.0,2.1666666666666665,TextWorldExpress game,category,instruction_following,,,,,0.0,
fixed_prompt,,,,3,1.0,1.0,,1.0,41.333333333333336,TextWorldExpress game,category,map_navigation,,,,,0.0,
fixed_prompt,,,,6,-1.0,0.0,,0.8333333333333334,18.666666666666668,TextWorldExpress game,category,quantity_reasoning,,,,,0.0,
fixed_prompt,,,,3,0.0787037037037037,0.0,,1.0,80.0,TextWorldExpress game,category,recipe_planning,,,,,0.0,
textgrad_policy_iteration,,,,3,1.0,1.0,,0.0,4.0,TextWorldExpress game,game,arithmetic,,,,,0.0,
